feature	Escherichia_coli	Akkermansia_muciniphila	Klebsiella_pneumoniae	Bifidobacterium_longum	Klebsiella_variicola	Bacteroides_uniformis	Blautia_wexlerae	Ruthenibacterium_lactatiformans	Bacteroides_fragilis	Klebsiella_quasipneumoniae	Fusicatenibacter_saccharivorans	Bacteroides_ovatus	Bacteroides_thetaiotaomicron	Ruminococcus_torques	Ruminococcus_gnavus	Eubacterium_rectale	Bifidobacterium_bifidum	Flavonifractor_plautii	Faecalibacterium_prausnitzii	Anaerostipes_hadrus	Parabacteroides_distasonis	Streptococcus_salivarius	Veillonella_atypica	Erysipelatoclostridium_ramosum	Streptococcus_parasanguinis	Haemophilus_parainfluenzae	Roseburia_intestinalis	Veillonella_parvula	Clostridium_innocuum	Intestinibacter_bartlettii	Eggerthella_lenta	Veillonella_infantium	Veillonella_dispar	Eubacterium_sp_CAG_38	Enterococcus_faecalis	Bifidobacterium_pseudocatenulatum	Klebsiella_oxytoca	Bifidobacterium_adolescentis	Bacteroides_vulgatus	Bifidobacterium_dentium	Lactobacillus_rhamnosus	Haemophilus_sp_HMSC71H05	Bifidobacterium_breve	Parabacteroides_merdae	Bacteroides_dorei	Collinsella_aerofaciens	Enterobacter_cloacae_complex	Bacteroides_caccae
G78783	0.0607958837330918	0	0	0.434819362323254	0	0.00181709621252953	0	0	0.0066255186909053	0	0	0	0.00312617087396537	0	0.00104158944325006	0	0.398271464436488	0	0	0	0.0011397675383145	0	0	0	0.000539678977665485	0	0	0.00114888407571334	0	0	0	0	0	0	0	0	0	0	0.047893679133949	0	0	0.000723211906398206	0.0420576926544752	0	0	0	0	0
G78787	0.00467816158749723	0.135931059406442	0.00172965029638499	0.104718790287321	0	0	0	0	0	0	0	0	0	0	0.00300238360027146	0	0.651807802555992	0.00317447569897451	0.00194239603579615	0.000599828257073671	0	0	0	0.0483503974703958	0	0	0	0	0	0	0	0	0	0	0.0195163663326999	0	0	0	0	0.0174727103083915	0.00641080478994663	0	0.00066517337281309	0	0	0	0	0
G78788	0.150754177948588	0.000277742401906344	0	0.00110992251091696	0	0.0016520568316974	0.0102178314548637	0	0	0	0.004319404809289	0	0	0	0.00111018428509407	0.000352609816557819	0.000375515057054336	0	0	0	0	0	0.00763333500432516	0	0	0.00248554581159353	0	0	0	0	0	0	0.000215440147755816	0.0302193418918655	0	0.786551691957761	0	0	0.00158412643273915	0	0	0.00057616496380383	0.000564908674188399	0	0	0	0	0
G78793	0.0177316322333675	0	0.011627760072284	0	0.00233186890624656	0.00347721497131429	0.0130065971746181	0	0	0.00121799032065011	0.14879871434875	0	0	0.0346234687971281	0.0258107028735307	0.00127472536728047	0.189115223381671	0.0186588115727329	0.0449080705077424	0.132377135284894	0	0	0	0.0154161404539833	0.000762706193876171	0.00117903615461318	0.00880375850382312	0	0.0108525370743058	0.0018688641339518	0.0138983317322742	0	0	0	0	0	0	0.29687028426481	0.00225115306671059	0	0	0.00147815267880664	0	0	0	0	0.000796630242376798	0.000862489688259051
G78794	0.121968009938294	0	0.00109352769002334	0.00130248659043881	0.000195649416312575	0	0	0	0.499009927953715	0.000207116048770455	0	0	0	0	0.0431109547189851	0	0.251317869282642	0	0.00791617400246184	0.00155065727863436	0	0	0.000703457425161539	0	0	0	0	0.0597155599438176	0	0.000112106808405164	0.00085487840199372	0	0	0	0	0	0	0.000393960729445729	0	0	0.0105476637708983	0	0	0	0	0	0	0
G78840	0	0	0	0.0415518738232331	0	0	0.00448207537778375	0.0124818343492584	0	0	0	0	0	0	0.013131195186316	0	0	0.00574261568987404	0.054091605001453	0.0144045088995201	0.512532580850423	0.000390977147135836	0.000439849290527815	0	0	0.000553421487387585	0	0.000187019253264194	0	0	0.00386867444168783	0	0	0	0	0	0	0	0.0530527942717405	0.000737108549056872	0.00244096918458634	0.00146602546044293	0.278444871736309	0	0	0	0	0
G78852	0	0	0.0121957929579863	0	0.0030175067795648	0	0	0	0.49974279139028	0.00247077472630646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.251756136543274	0	0	0	0.230816997602589	0	0	0	0	0	0	0	0	0	0	0	0	0
G78862	0.00668393576041214	0	0.000531320811505987	0.219888468657375	0	0	0	0	0	0	0	0	0	0	0.000130879024755147	0	0.615223672053186	0	0	0	0	0	0	0	0	0	0	0.000327998045219704	0	0	0	0	0	0	0.00271493928033747	0	0	0.142114008438295	0	0.00758257836081426	0	0	0	0.00480219956809922	0	0	0	0
G78875	0.252182053510571	0	0	0.427738744321149	0	0	0	0	0.000106814351580422	0	0	0	0	0	0.18961878465574	0	0	0	0	0	0	0	0	0	0	0.00106824711847307	0	0.0872653567904971	0.00183573568928565	0.0011436698613931	0.00103136456836383	0	0	0	0.00391172596762562	0	0	0	0	0	0.0340975031653205	0	0	0	0	0	0	0
G78893	0.00899305584119749	0	0	0.255773740288982	0	0.000769377240840057	0.0110835869332075	0	0	0	0	0.000733160630598401	0	0	0	0	0.676662417652357	0	0	0	0	0.000885651621089584	0	0	0.00142599140713269	0	0	0	0	0	0	0	0	0	0.00065320318361059	0	0	0	0.0161806986133954	0.0111318423058564	0	0	0	0	0	0.0157072742817323	0	0
