feature	Escherichia_coli	Akkermansia_muciniphila	Klebsiella_pneumoniae	Bifidobacterium_longum	Klebsiella_variicola	Bacteroides_uniformis	Blautia_wexlerae	Ruthenibacterium_lactatiformans	Bacteroides_fragilis	Klebsiella_quasipneumoniae	Fusicatenibacter_saccharivorans	Bacteroides_ovatus	Bacteroides_thetaiotaomicron	Ruminococcus_torques	Ruminococcus_gnavus	Eubacterium_rectale	Bifidobacterium_bifidum	Flavonifractor_plautii	Faecalibacterium_prausnitzii	Anaerostipes_hadrus	Parabacteroides_distasonis	Streptococcus_salivarius	Veillonella_atypica	Erysipelatoclostridium_ramosum	Streptococcus_parasanguinis	Haemophilus_parainfluenzae	Roseburia_intestinalis	Veillonella_parvula	Clostridium_innocuum	Intestinibacter_bartlettii	Eggerthella_lenta	Veillonella_infantium	Veillonella_dispar	Eubacterium_sp_CAG_38	Enterococcus_faecalis	Bifidobacterium_pseudocatenulatum	Klebsiella_oxytoca	Bifidobacterium_adolescentis	Bacteroides_vulgatus	Bifidobacterium_dentium	Lactobacillus_rhamnosus	Haemophilus_sp_HMSC71H05	Bifidobacterium_breve	Parabacteroides_merdae	Bacteroides_dorei	Collinsella_aerofaciens	Enterobacter_cloacae_complex	Bacteroides_caccae
G78758	0	0	0.000386679090606092	0.174646049924367	0	0	0.000355031695467132	0	0	0	0	0	0	0	0	0	0.18882298129679	0	0	0	0	0	0	0	0	0	0	0.00138948088657574	0	0	0	0	0	0	0.00263394459542611	0	0	0.207995293751923	0	0.00151536941723926	0	0	0.000139709228540663	0	0	0.119177480194339	0	0
G78766	0	0	0	0.158854416219851	0	0.00016244818213082	0	0.000200059337599532	0	0	0	0	0	0.000799637172385329	0.0106110472366104	0.000506550242802015	0.000248773786305018	0.000509251043859609	0.000389815619312688	0	0	0.000133739667185287	0	0.00117284786667726	0.000631987447476922	0	0	0.00493826468930685	0.0036316771554443	0	0.007609356935267	0	0.000762226076254217	0	0.0012408680414611	0	0	0.000210062304479509	0.000395217221427876	0.565162827294576	0.092100116894671	0	0	0	0	0.000296387908653707	0	0
G78776	0.00791424721563258	0	0	0.0897382195914984	0	0.119966622305132	0	0	0.00018107429478315	0	0	0.113191542489884	0	0	0.11003094569702	0	0	0	0	0	0	0	0	0.0123691750725323	0	0.000887264044437433	0	0.0828435907252746	0	0.00149831475854543	0.000432277363402204	0	0.000571234377465074	0	0	0	0	0	0.0521836109355669	0	0	0.000227593381564456	0.000382356881028286	0	0.390263725206452	0	0	0
G78782	0.000273846718250133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.989472103940932	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00112349166767851	0	0	0	0.00113069289620809	0	0	0	0	0	0.000343458594036143	0	0	0	0	0	0	0
G78783	0.0606888650609403	0	0	0.434053952102623	0	0.00181389758769022	0	0	0.00661385582544341	0	0	0	0.00312066789193259	0	0.00103975593886951	0	0.397570389286944	0	0	0	0.00113776121155318	0	0	0	0.000538728983619319	0	0	0.00114686170115952	0	0	0	0	0	0	0	0	0	0	0.0478093721442214	0	0	0.000721938840309609	0.0419836587208392	0	0	0	0	0
G78787	0.00375170388801493	0.109011429925824	0.00138711235610084	0.0839804024125954	0	0	0	0	0	0	0	0	0	0	0.00240779503139754	0	0.522724540687796	0.00254580621030303	0.00155772617582024	0.000481038964156097	0	0	0	0.0387751407864037	0	0	0	0	0	0	0	0	0	0	0.0156513677607886	0	0	0	0	0.0140124350072356	0.00514121643853152	0	0.000533443208899921	0	0	0	0	0
G78788	0.115232971019676	0.000212299802136985	0	0.00084839883229106	0	0.00126279363928983	0.00781027160868324	0	0	0	0.00330165210665534	0	0	0	0.00084859892635528	0.000269526704503787	0.000287034935123001	0	0	0	0	0	0.00583474291264323	0	0	0.001899893139765	0	0	0	0	0	0	0.000164677414852722	0.0230989588205415	0	0.601221734337312	0	0	0.00121086922962485	0	0	0.000440407035347317	0.000431802990585874	0	0	0	0	0
G78793	0.0151692754396522	0	0.00994745959995401	0	0.00199489597248977	0.00297473075058987	0.0111270441704234	0	0	0.00104198138183824	0.127296159389926	0	0	0.0296201121220803	0.022080858435741	0.00109051777928268	0.16178662378918	0.0159624702564453	0.0384185100406795	0.113247624393533	0	0	0	0.0131883899736412	0.000652489301727365	0.00100865639142793	0.00753154790777604	0	0.00928426226827498	0.0015987989393246	0.0118899162481945	0	0	0	0	0	0	0.253970252292194	0.0019258441905585	0	0	0.00126454828475874	0	0	0	0	0.000681511065147754	0.00073785331620182
G78794	0.119172752419529	0	0.00106846627023744	0.00127263625970983	0.000191165531544213	0	0	0	0.487573640243876	0.000202369372220797	0	0	0	0	0.0421229397437441	0	0.245558177343193	0	0.00773475147280488	0.00151511938292447	0	0	0.000687335618650073	0	0	0	0	0.0583470013520635	0	0.000109537549471959	0.000835286336156034	0	0	0	0	0	0	0.000384931954674062	0	0	0.0103059328737891	0	0	0	0	0	0	0
G78840	0	0	0	0.0299348891455069	0	0	0.00322898625815386	0.00899218959816715	0	0	0	0	0	0	0.00946000351085489	0	0	0.0041371073856484	0.0389687889000972	0.0103773268790951	0.369239809893709	0.000281668586300764	0.00031687715958836	0	0	0.000398697082739647	0	0.000134732807438611	0	0	0.00278707865365216	0	0	0	0	0	0	0	0.0382204066690239	0.000531029305635922	0.00175852820161709	0.00105615717427194	0.200597845575398	0	0	0	0	0
G78852	0	0	0.00139691825667323	0	0.000345628228072615	0	0	0	0.0572410364245135	0.00028300499485309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0288363983037707	0	0	0	0.0264380085011539	0	0	0	0	0	0	0	0	0	0	0	0	0
