feature	Escherichia_coli	Akkermansia_muciniphila	Klebsiella_pneumoniae	Dialister_invisus	Bifidobacterium_longum	Bacteroides_uniformis	Eubacterium_sp_CAG_180	Blautia_wexlerae	Ruthenibacterium_lactatiformans	Bacteroides_fragilis	Fusicatenibacter_saccharivorans	Bacteroides_ovatus	Bacteroides_thetaiotaomicron	Ruminococcus_torques	Ruminococcus_gnavus	Roseburia_faecis	Eubacterium_rectale	Bifidobacterium_bifidum	Flavonifractor_plautii	Roseburia_inulinivorans	Faecalibacterium_prausnitzii	Sellimonas_intestinalis	Ruminococcus_bromii	Anaerostipes_hadrus	Parabacteroides_distasonis	Hungatella_hathewayi	Streptococcus_salivarius	Streptococcus_thermophilus	Veillonella_atypica	Erysipelatoclostridium_ramosum	Agathobaculum_butyriciproducens	Gemmiger_formicilis	Lachnospira_pectinoschiza	Haemophilus_parainfluenzae	Dorea_longicatena	Blautia_obeum	Roseburia_intestinalis	Veillonella_parvula	Clostridium_innocuum	Intestinibacter_bartlettii	Eggerthella_lenta	Clostridium_symbiosum	Gordonibacter_pamelaeae	Veillonella_dispar	Eubacterium_sp_CAG_38	Bacteroides_xylanisolvens	Eubacterium_eligens	Clostridium_clostridioforme	Roseburia_hominis	Ruminococcus_bicirculans	Coprococcus_comes	Enterococcus_faecalis	Clostridium_bolteae	Lactococcus_lactis	Bifidobacterium_pseudocatenulatum	Eubacterium_siraeum	Intestinimonas_butyriciproducens	Dorea_formicigenerans	Bifidobacterium_adolescentis	Bacteroides_vulgatus	Bifidobacterium_dentium	Haemophilus_sp_HMSC71H05	Bifidobacterium_breve	Parabacteroides_merdae	Ruminococcus_lactaris	Bacteroides_stercoris	Alistipes_putredinis	Barnesiella_intestinihominis	Bacteroides_dorei	Eubacterium_hallii	Odoribacter_splanchnicus	Alistipes_finegoldii	Collinsella_aerofaciens	Prevotella_copri	Parasutterella_excrementihominis	Bacteroides_caccae
G78867	0.00162691133118089	0	0	0	0.480454445048353	0.00261067134669861	0	0	0	0	0	0.00285981110836741	0	0	0.000271758739145373	0.000388494730219594	0	0.098758979458217	0	0	0.000596037640626596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000237995777643756	0	0.00667237768263831	0	0.000888098291263139	0	0	0	0	0	0	0	0	0.0886832731889205	0	0.0596240659741508	0	0	0	0	0	0	0.000124790553785391	0	0.25620228912879	0	0	0	0	0	0	0	0	0	0	0	0	0
G78868	0.0293266706085001	0.000209483549497473	0	0	0.403367701787566	0	0	0	0	0.000195913303231714	0	0	0	0	0.0011922430647774	0.00475620026262418	0	0.226909342202269	0	0	0	0	0	0	0	0	0	0	0	0.00344775483696604	0	0	0	0	0	0	0	0.00224388013253227	0	0	0.0451274548318914	0	0.0065502096260941	0	0	0	0	0	0	0	0	0	0	0.000833258734990766	0	0	0	0	0	0	0.0509725818305806	0	0.224867305228479	0	0	0	0	0	0	0	0	0	0	0	0	0
G78869	0	0.0032281078657012	0	0.000536679666579626	0.00631828499133638	0.265083366782639	0	0.0126866804136621	0.000902394333313242	0.0164582780856514	0.0221550107737427	0	0.012315375333735	0	0.00412572493683087	0.0481400644483162	0	0	0.00110080317974571	0.000798412647913439	0.0579237957563885	0.00243955467378364	0	0.0190343404852336	0	0	0.000194444735258868	0.00122917939544459	0	0	0.000302797107337255	0	0.0175511530430499	0.00177348235274267	0.00529554430854771	0.003371730662837	0	0.000276674631141996	0.000577845436459313	0.000119634842341708	0.000296901762514979	0.000116077306673093	0	0	0.00081762334052396	0.055947635514411	0.0154243565764757	0.000228190502172587	0	0.00874869171625787	0	0	0	0	0	0	0.000641067927484413	0	0.00415774275784841	0.0010457121988203	0	0	0	0.0139789806562556	0	0	0.0509163652841033	0	0.240547551495583	0.00397590186324406	0	0.0164080660107858	0	0.000450790591151636	0	0.0823589836059608
G78870	0	0.000166681798206721	0	0.000308602894505922	0.00604795242080149	0.00859095702931164	0.00150214924905623	0.00296786201806968	0	0.00167366240373271	0.00250254199807591	0.0020119580098757	0.0017182517978182	0.000800998641382299	0.00194079615520652	0.010727624428063	0.00465642110425081	0.00658815846607653	0.000133063609437974	0.00934344079947677	0.012111002830571	0	0	0.0042571296226771	0.00350967851550131	0	0	0	0	0	0	0.000171915767715628	0.0234446605358095	0.0100262725138695	0	0	0.0268124179550116	0.000299141488085976	0	0	0	0	0	0	0	0	0.000268341590591255	0	0	0.000167889637324161	0	0	0	0	0.000293102292498776	0	0	0.000224960035623202	0.0156672838053535	0.0347983482397456	0	0	0.000173324913352641	0	0	0	0.00405924531393651	0.00245654345835341	0.01603225252534	0.000803816932656326	0	0	0.00702801321134427	0.774322910554078	0	0.0013906254372126
G78871	0.00124762440515105	0.0104859643521404	0	0.00754382497377343	0.0219898742645158	0.0605851438533542	0	0.00372908843040964	0.0039210618338832	0.00644874543252297	0.00234280530511507	0.0182457847445	0.00930331088237828	0.00026140412225888	0.000936453154536563	0.0311115503322032	0	0.0178762308748777	0.00732539694606196	0.000626498208484738	0.0218743253310629	0.000594570213714848	0.00419878470902447	0.0171996614618967	0.00690425149124007	0	0.000248126130783148	0	0	0.000288669616205231	0.000482670193949898	0.00163481469093194	0	0.000689239252175411	0	0.000341680223394605	0	0.000721572681799523	0.000140787253128183	0.000334281037305075	0.000587576462479538	0	0.000535984877279938	0	0.00136388284959887	0	0.000126090239662678	0	0.00188212995200665	0.00580278635103563	0	0	0	0	0	0	0.00757169862000112	0.00107835535351385	0.0490914711710479	0.0496558364881233	0	0	0.000655790876702193	0	0	0	0.165434448785976	0.0440075208165458	0.0448519402591742	0.00235304253518414	0	0.00666443677496845	0.0290835651913906	0.323058701898956	0	0.00656054409357436
G78872	0.00919357693522872	0	0	0	0.0604946056644915	0.210558442558492	0	0.0164391673102897	0	0.034980027691267	0	0.147344105104331	0	0	0	0	0	0.0274234100336518	0	0	0	0	0	0	0.0444926636013044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000783491579423246	0	0	0	0	0	0.00188252826829386	0	0	0	0	0.00175422198452875	0.0124670939058431	0	0	0	0	0	0.0533077470390414	0	0	0	0	0	0	0.0374717598170621	0	0	0.191325852682098	0	0	0	0	0	0	0.150081305824654
G78873	0.0852792933882494	0	0	0	0	0.00014714754309846	0	0	0	0	0	0	0	0	0.0495136661057432	0	0	0	0	0	0	0	0	0	0	0	0.000293109368686054	0	0	0.00189584372812351	0	0	0	0	0	0	0	0.00539489610268883	0.00812097923192065	0	0	0	0	0.000120468899103977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.806715951410245	0	0	0	0.0425186442221409	0	0	0	0	0	0	0	0	0	0	0	0
G78874	0.00106517992031186	0	0	0	0	0.252223720079569	0	0	0	0.0274391782863582	0	0	0	0	0.101878807524799	0	0	0	0.000563391063971799	0	0	0	0	0	0.0251868101898425	0.0016179251658774	0	0	0.000912789216384034	0.011413154643072	0	0	0	0.00128407708529454	0	0	0	0	0.00486202899729548	0	0	0	0	0.00081015874231019	0	0	0	0	0	0	0	0	0	0	0	0.000571046483949335	0	0	0	0.530625148772322	0	0.000584443468910024	0	0.038962140359733	0	0	0	0	0	0	0	0	0	0	0	0
G78875	0.25842323972155	0	0	0	0.438324736130621	0	0	0	0	0.00010945787140643	0	0	0	0	0.194311609254721	0	0	0	0	0	0	0	0	0	0	0.00995790596369162	0	0	0	0	0	0	0	0.00109468488076789	0	0	0	0.0894250637716847	0.00188116782099954	0.00117197424098504	0.00105688953428808	0	0.000114447706475394	0	0	0	0	0	0	0	0	0.00400853622763585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000120286875173118	0	0
G78876	0.00462766386719566	0.12517544852165	0	0	0.195845362785569	0	0	0.139283618491676	0	0.0317557261814818	0	0	0	0	0.0757740924632466	0	0	0	0.00545730573524539	0	0	0.00182494850603632	0	0.0264678364992134	0.0808279831926298	0.0027437086927975	0	0	0	0.0127746395422542	0	0	0	0.00458528450744437	0	0	0	0.00984387362758803	0.0116050503219412	0	0.00133160409323784	0.00295185420851375	0.000266543867909416	0	0	0	0	0.00757292798388205	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00507761505996173	0.0491377523853091	0.0283693314564752	0	0	0	0	0.176699828008742	0	0	0	0	0	0	0
G78877	0	0.000602907425069555	0	0	0.00518541893816276	0.110020228011079	0	0.000353650345032193	0	0.000494882187634545	0	0	0.0236338672920854	0	0.0696687028887775	0.000143618567348755	0.0121231089227497	0.000255587089147386	0.000104081953071388	0.0232903864698857	0.000602181030581519	0	0	0	0.0123384330031317	0	0.000204531933702598	0	0.00490970034463268	0	0	0	0	0	0	0.0131942294806788	0.000359980354142218	0.00789061578224852	0	0	0	0	0	0.00698895268131403	0	0	0	0	0.00908781766917235	0	0	0	0	0	0	0.000139363971061689	0	0	0.021920717777374	0.00221021088581006	0	0	0.0495132274879712	0.00122542750131607	0	0	0	0	0.581845098035757	0	0.0015925680296975	0.00190875717327528	0.0214425426629643	0	0	0.0167492041051251
